PDB,label,year,resolution,type,operation,data
4vgc,6.896196279044043,1997,2.10,Ki,=,0.127uM
4zzx,6.903089986991944,2015,1.65,Kd,=,0.125uM
1yuc,6.913640169325252,2005,1.90,Kd,=,122nM
2hha,6.913640169325252,2006,2.35,IC50,=,0.122uM
2ito,6.907981529247203,2007,3.25,Kd,=,123.6nM
3evc,6.906578314837765,2009,1.60,Kd,=,124nM
3evd,6.906578314837765,2009,1.50,Kd,=,124nM
3kbz,6.906578314837765,2010,2.45,IC50,=,124nM
3wde,6.906578314837765,2013,1.44,Kd,=,124nM
4bcm,6.910094888560602,2013,2.45,Ki,=,0.123uM
4jx7,6.910094888560602,2013,2.40,IC50,=,123nM
5can,6.906578314837765,2015,2.80,Ki,=,124nM
1a37,6.920818753952375,1999,3.60,Kd,=,120nM
1a9m,6.924453038607469,1998,2.30,Ki,=,119nM
1b39,6.920818753952375,1998,2.10,Kd,=,0.120uM
1d4w,6.920818753952375,1999,1.80,Kd,=,120nM
1jbd,6.920818753952375,2001,NMR,IC50,=,0.12uM
1k6v,6.920818753952375,2002,2.00,Kd,=,120nM
1m9n,6.920818753952375,2003,1.93,Ki,=,0.12uM
1o2j,6.920818753952375,2003,1.65,Ki,=,0.12uM
1o2k,6.920818753952375,2003,1.63,Ki,=,0.12uM
1o4a,6.920818753952375,2004,1.50,IC50,=,120nM
1ph0,6.920818753952375,2003,2.20,Ki,=,120nM
1pkx,6.920818753952375,2004,1.90,Ki,=,0.12uM
1swr,6.920818753952375,1999,1.90,Kd,=,0.12uM
1vj5,6.920818753952375,2004,2.35,IC50,=,0.12uM
2a3x,6.920818753952375,2005,3.00,IC50,=,0.12uM
2d3u,6.920818753952375,2006,2.00,Ki,=,0.12uM
2foy,6.920818753952375,2006,1.55,Kd,=,120nM
2g78,6.920818753952375,2007,1.70,Kd,=,120nM
2g79,6.920818753952375,2007,1.69,Kd,=,120nM
2o9j,6.920818753952375,2007,2.65,Ki,=,120nM
2oa0,6.920818753952375,2007,3.40,Ki,=,120nM
2uy0,6.920818753952375,2008,1.76,Ki,=,120nM
2uzb,6.920818753952375,2007,2.70,IC50,=,0.12uM
2xcn,6.920818753952375,2010,3.02,IC50,=,0.12uM
3bl0,6.91721462968355,2008,1.90,Ki,=,121nM
3bu8,6.920818753952375,2008,2.15,Kd,=,0.12uM
3ccn,6.920818753952375,2008,1.90,IC50,=,120nM
3cwe,6.920818753952375,2008,1.60,IC50,=,0.12uM
3e7o,6.920818753952375,2008,2.14,IC50,=,120nM
3ej1,6.920818753952375,2008,3.22,IC50,=,0.12uM
3ipx,6.920818753952375,2010,2.00,IC50,=,120nM
3jpv,6.920818753952375,2009,2.35,IC50,=,0.12uM
3kl8,6.920818753952375,2010,3.37,IC50,=,0.12uM
3lir,6.924453038607469,2010,1.90,Ki,=,119nM
3lok,6.920818753952375,2010,2.48,IC50,=,120nM
3lp1,6.920818753952375,2010,2.23,IC50,=,0.12uM
3lpj,6.920818753952375,2010,1.79,IC50,=,120nM
3r04,6.920818753952375,2011,1.70,IC50,=,0.12uM
3r0i,6.920818753952375,2011,2.10,IC50,=,0.12uM
3r1v,6.920818753952375,2011,2.19,Kd,=,0.12uM
3rz9,6.920818753952375,2011,2.29,Kd,=,120nM
3u6w,6.920818753952375,2012,2.21,Kd,=,120nM
3uex,6.920818753952375,2011,2.10,Kd,=,0.12uM
3wdz,6.920818753952375,2013,2.60,Kd,=,0.12uM
3wfg,6.920818753952375,2013,1.40,IC50,=,120nM
3wto,6.924453038607469,2015,2.25,Kd,=,0.119uM
4bfy,6.920818753952375,2013,2.30,IC50,=,0.12uM
4bo8,6.920818753952375,2013,2.70,IC50,=,0.12uM
4gsy,6.920818753952375,2012,1.71,IC50,=,120nM
4i47,6.920818753952375,2012,2.65,Kd,=,0.12uM
4imz,6.920818753952375,2013,1.70,Ki,=,0.12uM
4jg7,6.920818753952375,2013,3.00,IC50,=,0.12uM
4k10,6.922632094715843,2014,2.30,Kd,=,119.5nM
4na4,6.920818753952375,2014,2.50,IC50,=,120nM
4pgd,6.924453038607469,2015,2.70,Kd,=,119nM
4po0,6.920818753952375,2014,2.73,Kd,=,0.12uM
4pz5,6.91721462968355,2014,1.96,Kd,=,121nM
4qtl,6.920818753952375,2015,1.80,Kd,=,120nM
4tn2,6.920818753952375,2014,2.70,IC50,=,0.12uM
4u0e,6.920818753952375,2014,2.04,Kd,=,0.12uM
4wm9,6.920818753952375,2014,2.40,Kd,=,0.12uM
4wwp,6.920818753952375,2014,2.40,IC50,=,0.12uM
4yll,6.920818753952375,2015,1.40,IC50,=,0.12uM
5ci7,6.920818753952375,2015,1.74,IC50,=,120nM
1oeb,6.928117992693875,2003,1.76,Kd,=,0.118uM
2weo,6.928117992693875,2009,1.40,Kd,=,118nM
3bh9,6.93218548883816,2008,1.70,IC50,=,116.9nM
3svj,6.931814138253839,2011,1.55,Ki,=,117nM
4e93,6.928117992693875,2012,1.84,IC50,=,118nM
4y67,6.931814138253839,2015,1.60,IC50,=,0.117uM
2z7h,6.939302159646388,2008,2.08,Ki,=,115nM
3rwi,6.935542010773082,2012,2.01,IC50,=,116nM
3svv,6.943095148663527,2011,2.20,IC50,=,114nM
4f9w,6.943095148663527,2013,2.00,Ki,=,114nM
4l34,6.943095148663527,2013,1.80,IC50,=,114nM
4nru,6.939302159646388,2014,2.30,IC50,=,115nM
4og7,6.943095148663527,2014,2.08,IC50,=,114nM
4pkb,6.935542010773082,2014,2.09,IC50,=,0.116uM
4rn4,6.943095148663527,2015,1.53,Ki,=,114nM
4w4v,6.939302159646388,2015,2.01,IC50,=,115nM
4wk2,6.939302159646388,2014,2.50,Kd,=,115nM
4xir,6.939302159646388,2015,1.70,Ki,=,115nM
1kmv,6.950781977329818,2002,1.05,IC50,=,112nM
1tcx,6.950781977329818,1996,2.30,Ki,=,112nM
2hiz,6.950781977329818,2007,2.50,IC50,=,112nM
2igy,6.94692155651658,2006,2.60,IC50,=,113nM
3dct,6.950781977329818,2008,2.50,IC50,=,0.112uM
3ho2,6.94692155651658,2010,2.00,IC50,=,113nM
3luo,6.94692155651658,2010,2.55,Kd,=,113nM
4i9r,6.950781977329818,2013,2.60,Kd,=,112nM
4k9y,6.954677021213342,2013,2.00,Kd,=,0.111uM
4q4s,6.95233580539844,2014,1.25,Kd,=,111.6nM
4qir,6.950781977329818,2014,1.70,Ki,=,112nM
4qw4,6.94692155651658,2015,2.80,IC50,=,0.113uM
4wyo,6.954677021213342,2015,2.89,IC50,=,111nM
5am4,6.94692155651658,2015,1.87,IC50,=,0.113uM
1atr,6.958607314841775,1993,2.34,Kd,=,110nM
1bm2,6.958607314841775,1998,2.10,IC50,=,0.11uM
1c5c,6.958607314841775,2000,1.61,Kd,=,110nM
1d3v,6.958607314841775,1999,1.70,Kd,=,0.11uM
1ent,6.958607314841775,1994,1.90,Ki,=,110nM
1gj8,6.958607314841775,2002,1.64,Ki,=,0.11uM
1gux,6.958607314841775,1998,1.85,Kd,=,110nM
1gvw,6.958607314841775,2002,1.00,Ki,=,110nM
1juj,6.962573502059376,2001,3.00,Ki,=,109nM
1mto,6.958607314841775,2002,3.20,Ki,=,0.11uM
1n3w,6.958607314841775,2003,2.60,Kd,=,110nM
1oyq,6.958607314841775,2003,1.90,Ki,=,110nM
1r58,6.958607314841775,2004,1.90,IC50,=,0.11uM
1u0h,6.958607314841775,2004,2.90,Ki,=,110nM
1x8j,6.958607314841775,2005,2.35,Ki,=,0.11uM
2anl,6.958607314841775,2006,3.30,Ki,=,110nM
2cng,6.958607314841775,2006,1.90,IC50,=,110nM
2e93,6.958607314841775,2007,2.12,Ki,=,0.11uM
2ieh,6.958607314841775,2007,2.70,IC50,=,110nM
2ojf,6.958607314841775,2007,2.10,IC50,=,110nM
2xwd,6.958607314841775,2011,2.66,Ki,=,0.11uM
3bjc,6.958607314841775,2008,2.00,IC50,=,0.11uM
3cth,6.958607314841775,2008,2.30,IC50,=,0.11uM
3exe,6.958607314841775,2008,1.98,Kd,=,0.11uM
3jzq,6.958607314841775,2009,1.80,IC50,=,110nM
3lp0,6.958607314841775,2010,2.79,IC50,=,0.11uM
3lq5,6.958607314841775,2011,3.00,IC50,=,0.11uM
3p78,6.958607314841775,2011,2.30,IC50,=,0.11uM
3pn1,6.958607314841775,2011,2.00,Ki,=,110nM
3qtf,6.958607314841775,2011,1.57,IC50,=,0.11uM
3r5j,6.958607314841775,2011,1.77,IC50,=,110nM
3tv4,6.958607314841775,2011,3.40,IC50,=,110nM
4cg8,6.958607314841775,2014,1.75,Kd,=,0.11uM
4dai,6.958607314841775,2012,2.50,Kd,=,110nM
4i54,6.958607314841775,2013,2.50,Kd,=,0.11uM
4jyb,6.958607314841775,2013,2.10,Kd,=,0.11uM
4loh,6.958607314841775,2013,2.25,Kd,=,0.11uM
4pzw,6.958607314841775,2014,1.80,IC50,=,0.11uM
4rpn,6.958607314841775,2014,2.27,Kd,=,110nM
2k0g,6.97061622231479,2009,NMR,Kd,=,107nM
3hy7,6.97469413473523,2009,1.69,IC50,=,106nM
3r7q,6.966576244513051,2011,2.50,IC50,=,0.108uM
3t84,6.97469413473523,2011,2.00,Ki,=,106nM
4li6,6.97469413473523,2013,2.05,IC50,=,0.106uM
4nj9,6.966576244513051,2014,1.95,Kd,=,108nM
4xar,6.97061622231479,2015,2.26,Ki,=,107nM
1biw,6.982966660701219,1999,2.50,IC50,=,104nM
1my4,6.978810700930062,2003,1.90,Ki,=,105nM
2fme,6.982966660701219,2006,2.10,IC50,=,104nM
2w54,6.984640244590786,2008,3.30,Ki,=,103.6nM
3hv8,6.9821322810364945,2009,1.45,Kd,=,104.2nM
3t83,6.978810700930062,2011,1.80,Ki,=,105nM
4att,6.980468315468745,2013,1.25,Kd,=,104.6nM
4av0,6.980468315468745,2012,2.10,Kd,=,104.6nM
4ckr,6.978810700930062,2014,2.20,IC50,=,105nM
4oc4,6.978810700930062,2014,1.66,Ki,=,105nM
5ajw,6.982966660701219,2015,2.50,IC50,=,0.104uM
2iw8,6.987162775294828,2006,2.30,IC50,=,103nM
2y6s,6.987162775294828,2012,2.80,Kd,=,103nM
3l6f,6.991399828238082,2010,2.10,IC50,=,102nM
3slz,6.991399828238082,2011,1.40,Ki,=,102nM
3t2v,6.987162775294828,2011,2.51,Kd,=,0.103uM
4aza,6.987162775294828,2012,2.16,Kd,=,103.0nM
4bcs,6.987162775294828,2013,1.80,Kd,=,103nM
4es0,6.987162775294828,2012,1.82,Kd,=,103nM
4fai,6.994390554639719,2012,1.65,Ki,=,101.3nM
4fbe,6.994390554639719,2012,1.88,Ki,=,101.3nM
4w4x,6.988006885340743,2015,2.65,IC50,=,102.8nM
1ch8,7.0,1999,2.50,Ki,=,0.1uM
1fki,7.0,1994,2.20,Ki,=,100nM
1fpc,7.0,1995,2.30,Ki,=,0.1uM
1gj6,7.0,2002,1.50,Ki,=,0.10uM
1iep,7.0,2001,2.10,IC50,=,100nM
1is0,7.0,2002,1.90,Kd,=,0.1uM
1kc5,7.0,2002,2.50,Kd,~,0.1uM
1kcs,7.0,2002,2.50,Kd,~,0.1uM
1lf3,7.0,2002,2.70,Ki,=,100nM
1m74,7.0,2002,3.00,Kd,=,100nM
1oth,7.0,1999,1.85,Ki,=,0.1uM
1pqc,7.0,2003,2.80,IC50,=,0.1uM
1tyr,7.0,1995,1.80,Kd,=,0.1uM
1unh,7.0,2004,2.35,IC50,=,0.10uM
1vru,7.0,1996,2.40,IC50,=,0.1uM
1vyj,7.0,2005,2.80,Kd,=,100nM
1yvf,7.0,2005,2.50,IC50,=,0.10uM
1zls,7.0,2005,2.00,Kd,=,0.1uM
1zlu,7.0,2005,2.75,Kd,=,0.1uM
1zoh,7.0,2005,1.81,Ki,=,100nM
2a2g,7.0,1999,2.90,Kd,=,0.1uM
2buc,7.0,2006,2.50,IC50,<,100nM
2gm1,7.0,2006,2.30,IC50,=,0.10uM
2gvd,7.0,2006,2.90,Ki,=,100nM
2gyi,7.0,1995,1.60,Ki,<=,100nM
2j7g,7.0,2006,1.91,Kd,=,100nM
2p0d,7.0,2007,1.81,Kd,=,0.1uM
2qc6,7.0,2008,1.85,IC50,=,0.1uM
2r3k,7.0,2008,1.70,IC50,=,100nM
2r3l,7.0,2008,1.65,IC50,=,100nM
2rjp,7.0,2007,2.80,IC50,=,0.1uM
2veu,7.0,2007,2.40,IC50,=,100nM
2wzf,7.0,2009,2.10,Kd,=,100nM
2z7i,7.0,2008,2.10,IC50,=,0.10uM
2zu5,7.00436480540245,2009,1.65,Ki,=,99nM
3bbb,7.0,2008,1.30,Kd,=,100nM
3db8,7.00436480540245,2008,3.15,IC50,=,99nM
3di6,7.0,2008,2.65,IC50,=,0.1uM
3drf,7.0,2009,1.30,Kd,=,0.1uM
3drg,7.0,2009,2.50,Kd,=,0.1uM
3dux,7.0,2009,1.60,Ki,=,100nM
3fsm,7.0,2010,1.60,Kd,=,0.1uM
3g15,7.0,2009,1.70,Kd,=,0.10uM
3g2t,7.0,2009,2.00,Kd,=,0.1uM
3hd3,7.0,2009,1.75,IC50,=,0.1uM
3hzy,7.0,2010,2.10,Kd,=,0.1uM
3kdm,7.0,2010,1.50,Kd,=,0.1uM
3kx1,7.0,2010,1.51,IC50,=,100nM
3l38,7.0,2010,2.10,IC50,=,0.1uM
3l4y,7.0,2010,1.80,Ki,=,0.10uM
3l8s,7.00436480540245,2010,2.35,Kd,=,99.0nM
3m2u,7.0,2010,1.40,Ki,=,0.1uM
3mb6,7.0,2010,1.75,IC50,=,100nM
3mhm,7.0,2010,1.50,Kd,=,0.1uM
3pix,7.0,2011,1.85,IC50,=,0.1uM
3poa,7.0,2011,2.01,Kd,=,0.1uM
3qaq,7.0,2011,2.90,IC50,=,0.10uM
3qj9,7.0,2011,2.30,IC50,=,0.10uM
3ral,7.0,2012,1.75,IC50,=,0.1uM
3rse,7.0,2011,2.65,Kd,=,0.1uM
3t82,6.995678626217358,2011,2.00,Ki,=,101nM
3u9n,7.0,2012,1.85,Kd,<,100nM
3uvo,7.0,2011,2.20,Kd,=,0.10uM
3wtm,7.0,2015,2.48,Kd,=,0.100uM
3wzn,7.0,2015,1.30,Kd,=,0.10uM
3zya,7.0,2011,1.90,IC50,=,0.10uM
3zyu,7.0,2011,1.50,Kd,=,0.1uM
4a7j,7.0,2012,1.90,Kd,=,0.1uM
4ayr,7.00436480540245,2013,1.10,Kd,=,99nM
4b6o,7.0,2012,2.00,Ki,=,100nM
4bo7,7.0,2013,2.60,IC50,=,0.10uM
4bxu,7.0,2013,NMR,Kd,=,100nM
4dew,7.0,2012,1.90,Kd,=,0.10uM
4fcq,6.995678626217358,2012,2.15,Kd,=,0.101uM
4fhi,7.0,2012,2.40,IC50,=,100nM
4gs8,7.0,2013,2.99,IC50,=,0.1uM
4i7d,7.0,2013,2.40,IC50,=,0.1uM
4i7f,7.0,2013,2.50,IC50,=,100nM
4idt,7.0,2013,2.40,IC50,=,0.1uM
4kom,7.0,2013,2.60,Kd,=,0.10uM
4n3l,7.0,2013,1.94,Ki,=,100nM
4ncm,7.0,2014,2.82,Kd,=,0.10uM
4oel,7.0,2015,1.40,Ki,=,0.1uM
4r3c,6.995678626217358,2015,2.06,Ki,=,101nM
4rfy,7.0,2014,1.70,IC50,=,100nM
4riv,7.0,2015,1.63,Ki,=,100nM
4tsz,7.00436480540245,2014,2.00,Kd,=,99nM
4uco,7.0,2015,2.50,IC50,=,0.1uM
4wq3,7.0,2015,1.79,IC50,=,0.10uM
4x0f,6.995678626217358,2015,3.22,Kd,=,101nM
4ybt,7.0,2015,1.82,IC50,=,0.1uM
4ymj,7.0,2015,2.00,IC50,=,0.1uM
4yve,7.0,2015,3.40,Ki,=,100nM
4zlz,7.0,2015,2.00,IC50,=,100nM
5boj,7.0,2015,1.75,Kd,=,100nM
5fl4,6.995678626217358,2015,1.82,Ki,=,101nM
1u32,7.013228265733755,2004,2.00,IC50,=,97nM
1x8b,7.013228265733755,2005,1.81,IC50,=,97nM
2b8v,7.008773924307505,2005,1.80,IC50,=,98nM
2zmd,7.008773924307505,2008,2.88,Kd,=,0.098uM
3atw,7.008773924307505,2011,2.36,IC50,=,98nM
3eou,7.013228265733755,2009,1.93,Ki,=,97nM
3nht,7.008773924307505,2010,1.45,Kd,=,98nM
4d8e,7.008773924307505,2012,1.50,IC50,=,98nM
4mq2,7.013228265733755,2013,2.80,IC50,=,0.097uM
4ux4,7.013228265733755,2015,1.80,IC50,=,97nM
1ypj,7.022276394711152,2006,1.78,Ki,=,95nM
2b55,7.017728766960431,2005,1.85,IC50,=,96nM
2btr,7.022276394711152,2005,1.85,IC50,=,95nM
2vwl,7.022276394711152,2009,1.80,Ki,=,95nM
2yj9,7.022276394711152,2011,1.35,IC50,=,0.095uM
2yjb,7.022276394711152,2011,1.40,IC50,=,0.095uM
3cdb,7.019088062223156,2008,2.30,Kd,=,95.7nM
3hv5,7.022276394711152,2009,2.25,IC50,=,95nM
3igp,7.024568191490737,2010,1.65,Ki,=,94.5nM
3n4b,7.017728766960431,2011,1.60,Ki,=,96nM
3nzc,7.017728766960431,2010,2.00,IC50,=,96nM
3pbb,7.022276394711152,2011,1.95,Ki,=,0.095uM
3r92,7.017728766960431,2011,1.58,IC50,=,96nM
3w0l,7.022276394711152,2013,2.92,Kd,=,95nM
4bfd,7.017728766960431,2013,2.30,IC50,=,96nM
4dum,7.022276394711152,2012,2.95,IC50,=,95nM
4mw9,7.017728766960431,2014,2.65,IC50,=,96nM
1b1h,7.031517051446065,1998,1.80,Kd,=,0.093uM
1wtg,7.031517051446065,2005,2.20,IC50,=,93nM
2vwm,7.031517051446065,2009,1.96,Ki,=,93nM
3dsu,7.026872146400302,2008,1.90,Kd,=,94nM
3eyf,7.026872146400302,2008,2.30,Kd,=,94nM
3fxv,7.026872146400302,2009,2.26,IC50,=,0.094uM
3gnv,7.031517051446065,2009,2.75,IC50,=,93nM
3hyg,7.031517051446065,2009,1.40,IC50,=,93nM
3ohf,7.026872146400302,2011,2.10,IC50,=,94nM
4ajo,7.031517051446065,2012,1.96,Kd,=,0.093uM
4av4,7.0254883072626715,2012,1.90,Kd,=,94.3nM
4fxz,7.0254883072626715,2012,2.60,Kd,=,94.3nM
4jpc,7.026872146400302,2013,1.80,IC50,=,94nM
4ql1,7.031517051446065,2014,1.50,Kd,=,93nM
4rj3,7.031517051446065,2014,1.63,IC50,=,93nM
5ai5,7.031517051446065,2015,2.28,IC50,=,0.093uM
5ap3,7.031517051446065,2015,2.70,IC50,=,93nM
1gnj,7.040958607678906,2002,2.60,Kd,=,91nM
1nyx,7.036212172654444,2003,2.65,IC50,=,0.092uM
2aov,7.040958607678906,2005,2.48,Ki,=,91nM
2wti,7.036212172654444,2009,2.50,IC50,=,92nM
3bgp,7.040958607678906,2007,2.80,Ki,=,0.091uM
3mtw,7.036212172654444,2010,1.70,Ki,=,92nM
3oqf,7.040958607678906,2010,2.78,IC50,=,91nM
3r91,7.036212172654444,2011,1.58,IC50,=,92nM
3shy,7.041436116778033,2011,2.65,IC50,=,90.9nM
3t0t,7.040958607678906,2012,3.10,IC50,=,91nM
3vfj,7.040958607678906,2013,2.05,Kd,=,91nM
3wi2,7.036212172654444,2013,2.26,IC50,=,92nM
3ws9,7.036212172654444,2014,2.99,IC50,=,92nM
3wtl,7.036212172654444,2015,2.30,Kd,=,0.092uM
3wtn,7.040958607678906,2015,2.09,Kd,=,0.091uM
4lnw,7.041436116778033,2014,1.90,Kd,=,90.9nM
4n6y,7.036212172654444,2013,2.60,Ki,=,92nM
4p6x,7.040958607678906,2014,2.50,Ki,=,91nM
4tpt,7.036212172654444,2014,2.60,IC50,=,92nM
1b5i,7.045757490560675,1999,1.90,Kd,=,90nM
1ci7,7.045757490560675,2000,2.60,Ki,=,90nM
1g7p,7.045757490560675,2002,1.50,Kd,=,90nM
1nox,7.045757490560675,1997,1.59,Kd,=,90nM
1xug,7.045757490560675,1998,1.50,Ki,=,0.09uM
2bq7,7.050609993355087,2006,2.20,Ki,=,89nM
2bub,7.045757490560675,2006,2.66,IC50,=,90nM
2fts,7.045757490560675,2006,2.41,Kd,=,90nM
2g1y,7.045757490560675,2006,2.50,IC50,=,0.09uM
2h03,7.045757490560675,2006,1.65,IC50,=,0.09uM
2jxr,7.045757490560675,1997,2.40,Ki,=,90nM
2vwy,7.045757490560675,2008,1.65,IC50,=,0.09uM
2wer,7.045757490560675,2009,1.60,Kd,=,90nM
2wxo,7.045757490560675,2010,2.49,IC50,=,90nM
3ahn,7.045275209020937,2010,1.80,Ki,=,90.1nM
3aho,7.051098239029786,2010,1.88,Ki,=,88.9nM
3i4y,7.045757490560675,2010,1.85,Ki,=,0.09uM
3q4k,7.050609993355087,2011,2.60,Kd,=,89nM
3s0d,7.045757490560675,2011,1.24,Kd,=,90nM
3sfh,7.045757490560675,2011,2.70,IC50,=,90nM
3v7s,7.045757490560675,2012,3.10,Ki,=,0.09uM
3wch,7.050609993355088,2014,2.50,IC50,=,0.089uM
3zhz,7.045757490560675,2013,2.25,Kd,=,0.09uM
4bhi,7.045757490560675,2014,2.15,IC50,=,90nM
4e3h,7.045757490560675,2012,1.50,Ki,=,90nM
4eny,7.050609993355088,2012,2.80,IC50,=,0.089uM
4gjc,7.045757490560675,2013,2.40,IC50,=,0.09uM
4h3j,7.045757490560675,2012,1.60,Ki,=,90nM
4hg7,7.045757490560675,2013,1.60,IC50,=,90nM
4j1p,7.045757490560675,2014,1.08,IC50,=,0.09uM
4mwy,7.047691990337875,2013,1.80,IC50,=,89.6nM
4qzs,7.050609993355087,2014,1.45,Kd,=,89nM
5bui,7.050609993355088,2015,2.12,IC50,=,0.089uM
1bwn,7.060480747381382,1999,2.10,Kd,=,87nM
1ui0,7.055517327849832,2003,1.50,Ki,=,88nM
2duv,7.060480747381382,2007,2.20,IC50,=,0.087uM
2eep,7.055024091587952,2008,2.20,Ki,=,88.1nM
2q8g,7.060480747381382,2007,1.90,IC50,=,87nM
2zsc,7.060480747381382,2009,1.30,Kd,=,87nM
3fh5,7.060480747381382,2010,1.63,IC50,=,87nM
3k3h,7.055517327849832,2010,2.50,IC50,=,88nM
3po6,7.0589857562944305,2011,1.47,Ki,=,87.3nM
3s3n,7.055517327849832,2011,2.49,IC50,=,88nM
4cwq,7.055517327849832,2014,2.00,Ki,=,0.088uM
4dxg,7.060480747381382,2012,2.50,Kd,=,87.0nM
4erz,7.055517327849832,2012,1.75,Kd,=,88nM
4j3e,7.055517327849832,2013,1.91,IC50,=,0.088uM
4lxm,7.055517327849832,2013,2.30,IC50,=,0.088uM
4mro,7.060480747381382,2014,2.20,IC50,=,0.087uM
4zzz,7.060480747381382,2015,1.90,Kd,=,0.087uM
5e2r,7.064492734175287,2015,1.60,Ki,=,86.2nM
1ydd,7.0655015487564325,1995,2.10,Kd,=,86nM
1zsh,7.070581074285707,2006,2.90,Kd,=,85nM
2aei,7.0655015487564325,2006,2.52,IC50,=,86nM
2ate,7.0655015487564325,2006,1.80,Kd,=,86nM
2f9k,7.066006836168758,2006,2.06,Ki,=,85.9nM
2oc4,7.0655015487564325,2007,2.59,Ki,=,86nM
2oji,7.0655015487564325,2007,2.60,Ki,=,86nM
2wd3,7.0655015487564325,2010,1.80,IC50,=,86nM
3cl0,7.071604147743286,2008,2.20,Ki,=,84.8nM
3ryv,7.0655015487564325,2011,1.20,Kd,=,86nM
3u7k,7.071092309756048,2012,1.90,Ki,=,84.9nM
4aom,7.070581074285707,2012,1.94,Kd,=,85nM
4bb2,7.070581074285707,2012,2.48,Kd,~,85nM
4ju3,7.070581074285707,2013,2.00,IC50,=,0.085uM
4jve,7.0655015487564325,2013,2.30,IC50,=,0.086uM
4nud,7.073143291050307,2014,1.20,Ki,<,0.0845uM
4oc5,7.070581074285707,2014,1.70,Ki,=,85nM
4oc6,7.070581074285707,2014,2.64,IC50,=,85nM
4po7,7.070581074285707,2014,2.66,Kd,=,85nM
4qew,7.0655015487564325,2014,1.70,Kd,=,86nM
4qkx,7.070581074285707,2014,3.30,Ki,=,85nM
4wmy,7.070581074285707,2015,1.60,Kd,=,85nM
4xiq,7.0655015487564325,2015,1.84,Ki,=,86nM
5ak5,7.0655015487564325,2015,2.22,IC50,=,0.086uM
5akl,7.0655015487564325,2015,2.00,IC50,<,0.086uM
5alh,7.0655015487564325,2015,1.90,IC50,<,0.086uM
5ali,7.0655015487564325,2015,1.85,IC50,<,0.086uM
5alp,7.0655015487564325,2015,2.06,IC50,<,0.086uM
5alr,7.0655015487564325,2015,2.60,IC50,<,0.086uM
1ga9,7.080921907623926,2001,2.10,Ki,=,83nM
1xpz,7.075720713938118,2005,2.02,Kd,=,84nM
2hnx,7.080921907623926,2006,1.50,Kd,=,83nM
2ogz,7.075720713938118,2007,2.10,IC50,=,84nM
2w06,7.080921907623926,2008,2.04,IC50,=,83nM
3k3a,7.075720713938118,2010,2.59,Ki,=,84.0nM
3rkz,7.080921907623926,2011,1.57,IC50,=,83nM
3rlp,7.075720713938118,2011,1.70,Kd,=,84nM
3ty0,7.080398976215889,2011,2.00,IC50,=,83.1nM
4daw,7.080921907623926,2012,2.00,IC50,=,83nM
4emf,7.0762380391713,2012,1.77,Kd,=,83.9nM
4gdy,7.075720713938118,2012,2.89,IC50,=,84nM
4u6y,7.080921907623926,2014,1.47,IC50,=,83nM
4v25,7.075720713938118,2014,2.60,IC50,=,84nM
4wag,7.080921907623926,2015,3.41,IC50,=,0.083uM
4yw6,7.080921907623926,2015,1.40,Kd,=,83nM
1lpg,7.086186147616283,2003,2.00,Ki,=,82nM
1yq7,7.0851281824599495,2005,2.20,Ki,=,82.2nM
2bz6,7.0915149811213505,2006,1.60,Ki,=,0.081uM
2of4,7.0915149811213505,2007,2.70,IC50,=,81nM
2wd1,7.086186147616283,2009,2.00,IC50,=,82nM
3er3,7.0915149811213505,1991,2.00,Ki,=,81nM
3f7h,7.086186147616283,2009,1.80,Ki,=,82nM
3fqk,7.0915149811213505,2009,2.20,IC50,=,81nM
3gol,7.0915149811213505,2009,2.85,IC50,=,0.081uM
3wf5,7.0915149811213505,2014,2.10,IC50,=,81nM
4awp,7.0915149811213505,2012,1.82,IC50,=,81nM
4c1u,7.0915149811213505,2013,2.00,Kd,=,81nM
4ghi,7.0915149811213505,2013,1.50,Kd,=,81nM
4jkt,7.094743951251549,2013,2.77,IC50,=,80.4nM
5ddb,7.086186147616283,2015,1.54,IC50,=,82nM
1b32,7.102372908709558,1998,1.75,Kd,=,79nM
1bmm,7.102372908709558,1996,2.60,Ki,=,79nM
1iau,7.096910013008056,2001,2.00,Ki,=,80nM
1j81,7.096910013008056,2001,2.20,Kd,=,0.08uM
1lhg,7.102372908709558,1996,2.25,Ki,=,79nM
1o6r,7.096910013008056,2003,2.70,IC50,=,80nM
1t4e,7.096910013008056,2005,2.60,Kd,=,80nM
1vrt,7.096910013008056,1996,2.20,IC50,=,0.08uM
2b1z,7.102372908709558,2006,1.78,IC50,=,79nM
2e95,7.096910013008056,2007,2.20,Ki,=,0.08uM
2ewp,7.102372908709558,2006,2.30,IC50,=,0.079uM
2f7i,7.096910013008056,2005,1.60,Kd,=,80nM
2fou,7.096910013008056,2006,0.99,Kd,=,80nM
2fq6,7.102372908709558,2006,1.78,IC50,=,0.079uM
2iku,7.102372908709558,2006,2.60,Kd,=,79nM
2il2,7.102372908709558,2006,2.24,Kd,=,79nM
2pe0,7.096910013008056,2007,2.35,IC50,=,80nM
2uvm,7.096910013008056,2007,1.94,Ki,=,0.08uM
2v57,7.102372908709558,2009,1.90,Kd,=,79nM
2vle,7.096910013008056,2008,2.40,IC50,=,80nM
2wjg,7.096910013008056,2009,2.20,Kd,=,0.08uM
